gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
5509572031	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1077692848	Animalia	Chordata	Aves	Passeriformes	Passerellidae	Zonotrichia	Zonotrichia capensis		SPECIES	Zonotrichia capensis (P.L.S.Müller, 1776)	Zonotrichia capensis		AR	San Juan, AR (-31,563, -67,884)	San Juan	PRESENT	5	e2e717bf-551a-4917-bdc9-4fa0f342c530	-31.562782	-67.88376							2021-02-15	15	2	2021	5231103	5231103	HUMAN_OBSERVATION	CLO	EBIRD	OBS1077692848				CC_BY_4_0		obsr1582172			2025-11-05T07:42:44.654Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
5508840028	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS2601562849	Animalia	Chordata	Aves	Passeriformes	Thraupidae	Saltator	Saltator aurantiirostris		SPECIES	Saltator aurantiirostris Vieillot, 1817	Saltator aurantiirostris		AR	Río La Tumana	San Juan	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	-30.864784	-67.3236							2024-11-09	9	11	2024	5230903	5230903	HUMAN_OBSERVATION	CLO	EBIRD	OBS2601562849				CC_BY_4_0		obsr662974			2025-11-05T07:41:24.235Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
5508584634	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1938296329	Animalia	Chordata	Aves	Passeriformes	Hirundinidae	Progne	Progne tapera		SPECIES	Progne tapera (Linnaeus, 1766)	Progne tapera		AR	Río La Tumana	San Juan	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	-30.864784	-67.3236							2024-01-04	4	1	2024	2489136	2489136	HUMAN_OBSERVATION	CLO	EBIRD	OBS1938296329				CC_BY_4_0		obsr4494563			2025-11-05T07:39:15.293Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
5508282418	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS2536987163	Animalia	Chordata	Aves	Passeriformes	Thraupidae	Catamenia	Catamenia analis		SPECIES	Catamenia analis (d'Orbigny & Lafresnaye, 1837)	Catamenia analis		AR	Vía sin nombre, Usno, San Juan, AR (-30.574, -67.552)	San Juan	PRESENT	10	e2e717bf-551a-4917-bdc9-4fa0f342c530	-30.573515	-67.55228							2024-10-12	12	10	2024	2491185	2491185	HUMAN_OBSERVATION	CLO	EBIRD	OBS2536987163				CC_BY_4_0		obsr4494563			2025-11-05T07:40:19.559Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
5508193324	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1077692800	Animalia	Chordata	Aves	Passeriformes	Tyrannidae	Sublegatus	Sublegatus modestus		SPECIES	Sublegatus modestus (Wied-Neuwied, 1831)	Sublegatus modestus		AR	San Juan, AR (-31,579, -67,863)	San Juan	PRESENT	4	e2e717bf-551a-4917-bdc9-4fa0f342c530	-31.578697	-67.862854							2021-02-15	15	2	2021	2483428	2483428	HUMAN_OBSERVATION	CLO	EBIRD	OBS1077692800				CC_BY_4_0		obsr1582172			2025-11-05T07:41:29.895Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
5508176703	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1047295130	Animalia	Chordata	Aves	Pelecaniformes	Ardeidae	Ardea	Ardea alba		SPECIES	Ardea alba Linnaeus, 1758	Ardea alba		AR	Unnamed Road, San Juan, AR (-30,637, -67,489)	San Juan	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	-30.637106	-67.48901							2021-01-07	7	1	2021	9752617	9752617	HUMAN_OBSERVATION	CLO	EBIRD	OBS1047295130				CC_BY_4_0		obsr1582172			2025-11-05T07:42:16.804Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
5508011997	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1077692810	Animalia	Chordata	Aves	Passeriformes	Rhinocryptidae	Rhinocrypta	Rhinocrypta lanceolata		SPECIES	Rhinocrypta lanceolata (I.Geoffroy Saint-Hilaire, 1832)	Rhinocrypta lanceolata		AR	San Juan, AR (-31,579, -67,863)	San Juan	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	-31.578697	-67.862854							2021-02-15	15	2	2021	2491022	2491022	HUMAN_OBSERVATION	CLO	EBIRD	OBS1077692810				CC_BY_4_0		obsr1582172			2025-11-05T07:45:27.861Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
5506804909	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS2536987161	Animalia	Chordata	Aves	Columbiformes	Columbidae	Zenaida	Zenaida meloda		SPECIES	Zenaida meloda (Tschudi, 1843)	Zenaida meloda		AR	Vía sin nombre, Usno, San Juan, AR (-30.574, -67.552)	San Juan	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	-30.573515	-67.55228							2024-10-12	12	10	2024	2495375	2495375	HUMAN_OBSERVATION	CLO	EBIRD	OBS2536987161				CC_BY_4_0		obsr4494563			2025-11-05T07:41:48.960Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
5506566861	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS2535472702	Animalia	Chordata	Aves	Passeriformes	Rhinocryptidae	Rhinocrypta	Rhinocrypta lanceolata		SPECIES	Rhinocrypta lanceolata (I.Geoffroy Saint-Hilaire, 1832)	Rhinocrypta lanceolata		AR	Vía sin nombre, Usno, San Juan, AR (-30.574, -67.552)	San Juan	PRESENT	4	e2e717bf-551a-4917-bdc9-4fa0f342c530	-30.573515	-67.55228							2024-10-12	12	10	2024	2491022	2491022	HUMAN_OBSERVATION	CLO	EBIRD	OBS2535472702				CC_BY_4_0		obsr1161478			2025-11-05T07:44:53.972Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
5506201984	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS466317643	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Aratinga	Aratinga acuticaudata		SPECIES	Thectocercus acuticaudatus (Vieillot, 1818)	Thectocercus acuticaudatus		AR	Quebrada El Pilucho	San Juan	PRESENT	3	e2e717bf-551a-4917-bdc9-4fa0f342c530	-30.672646	-67.457825							2017-01-28	28	1	2017	7826906	2479089	HUMAN_OBSERVATION	CLO	EBIRD	OBS466317643				CC_BY_4_0		obsr515251			2025-11-05T07:42:23.483Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
